text,emotion
I cannot forgive that level of disrespect and I won't try to,angry
The pressure is suffocating and I don't see a way out,stressed
I got the job offer I have been waiting for all month.,happy
i just got amazing news and i can barely contain my excitement.,happy
I have so many deadlines and I don't know where to start,stressed
I feel like a burden to everyone around me.,sad
I feel like I am stuck in a sadness I can't get out of,sad
I feel butterflies every single time I hear her name,romantic
He spoke to me like I was nothing and I am still fuming,angry
My friends threw me a surprise party and I was genuinely shocked.,happy
My hard work finally got noticed and I feel so validated.,happy
i went to the grocery store and bought some vegetables.,neutral
she is my favorite part of every single day.,romantic
They keep disrespecting me and I have had enough.,angry
I tried my best but it still wasn't good enough,sad
i have been pretending to be okay for so long i forgot how to feel.,sad
i feel like i lost a part of myself along the way.,sad
"every time i finish one task, three more appear.",stressed
The weather today is mild with some clouds in the sky.,neutral
I helped someone today and it made me feel genuinely happy,happy
His smile is the most beautiful thing I have ever seen,romantic
This love we have is rare and I treasure it every single day.,romantic
I feel explosive rage when I think about what they did,angry
i want to spend the rest of my life next to this person.,romantic
I am so in love it feels like my heart might burst.,romantic
I took a short break and had a glass of water,neutral
i returned the library books that were due today.,neutral
"My favorite band announced a concert in my city, so excited!",happy
Every time I see her my heart skips a beat,romantic
"i am not going to let this go, this is completely wrong.",angry
being loved by him is the greatest gift i have ever received.,romantic
i feel so empty inside like something is just missing.,sad
i snapped today because i had been holding it in for too long.,angry
"they promised and broke it again, i am done giving chances.",angry
Just thinking about her makes me smile uncontrollably.,romantic
the office was fairly quiet today and work went smoothly.,neutral
I feel like I am carrying the weight of the world right now.,stressed
she understands me in a way no one else ever has.,romantic
"i miss my mom so much, she would have known what to say.",sad
My to do list is endless and I feel utterly helpless.,stressed
My heart feels so heavy and I don't know how to lighten it.,sad
i am so angry i can barely think straight right now.,angry
I read a few pages of my book before going to bed.,neutral
I have barely eaten today because I have been so stressed,stressed
I am so done with people who take and never give back,angry
I am so done with people who take and never give back.,angry
I backed up my files before shutting down the computer.,neutral
I drank two cups of coffee and started working,neutral
"i had a regular tuesday, nothing out of the ordinary.",neutral
I am furious and I refuse to pretend that everything is fine,angry
i feel like i am carrying the weight of the world right now.,stressed
Being in his arms is the safest and happiest place I know.,romantic
i am so fed up with being treated like i don't matter.,angry
My mind won't stop racing and I can't relax at all.,stressed
I feel so tense and anxious about everything right now.,stressed
Everything I worked hard for is finally paying off,happy
"Today is the best day of my life, everything went perfectly",happy
Holding his hand still feels like the first time every time,romantic
my heart has never felt this warm or this full before.,romantic
I backed up my files before shutting down the computer,neutral
"I finally paid off my student loan, feels like freedom",happy
I am so angry I can barely think straight right now,angry
I can't stop crying and I don't even know why anymore.,sad
Just thinking about her makes me smile uncontrollably,romantic
today i realized how truly blessed and grateful i am.,happy
i feel so cherished and adored by this wonderful person.,romantic
i organized my bookshelf and found the book i was looking for.,neutral
They cheated the system and it makes me so incredibly angry,angry
I won first place in the competition after months of practice.,happy
I miss the version of my life before things went wrong,sad
My mind won't stop racing and I can't relax at all,stressed
i just got promoted at work and i couldn't be happier!,happy
i attended the online seminar and took notes.,neutral
She is the reason I believe in love again.,romantic
i feel like i am grieving something i can't even name.,sad
Something about today felt unbearably sad for no clear reason.,sad
i had a routine check up at the doctor this morning.,neutral
She is my favorite part of every single day.,romantic
I am so angry at the unfairness of this whole situation.,angry
the weather today is mild with some clouds in the sky.,neutral
I looked at her and just knew she was everything,romantic
I took a short break and had a glass of water.,neutral
i went to bed at the usual time last night.,neutral
my grandmother passed away last night and i miss her so much.,sad
I am raging inside and I don't know how to calm down,angry
That was a direct betrayal and I am livid about it,angry
"I laughed so hard today my stomach hurts, best feeling ever.",happy
My heart is racing and I can't seem to calm down.,stressed
I can't stop crying and I don't even know why anymore,sad
The sun is shining and I feel absolutely wonderful today,happy
I am worried about so many things and it is affecting my health,stressed
i can't stop crying and i don't even know why anymore.,sad
"I love every little thing about them, every single detail",romantic
I am so stressed that small things are making me snap,stressed
I can't concentrate on anything because anxiety is taking over.,stressed
i am livid and i want answers right now.,angry
I just adopted a puppy and he is the cutest thing ever.,happy
I helped someone today and it made me feel genuinely happy.,happy
I made pasta for dinner and watched a documentary afterward,neutral
My brain is completely fried from the constant pressure.,stressed
"I am so angry about how this was handled, it was disgraceful.",angry
I achieved my fitness goal after months of hard work.,happy
i feel like i am failing at everything simultaneously.,stressed
I drank two cups of coffee and started working.,neutral
I am so overwhelmed that I just sat and stared at the wall,stressed
the pressure is suffocating and i don't see a way out.,stressed
my best friend surprised me with a birthday party today.,happy
I made pasta for dinner and watched a documentary afterward.,neutral
I updated my calendar and scheduled a few appointments,neutral
I gave everything and still ended up with nothing.,sad
they took credit for my work and i am livid.,angry
I feel like I am failing at everything simultaneously.,stressed
i am juggling too many things and i am about to break.,stressed
I am completely frazzled and can't think clearly anymore.,stressed
I have so many deadlines and I don't know where to start.,stressed
My heart races every time his name appears on my phone,romantic
my mind won't stop racing and i can't relax at all.,stressed
I am so enraged I had to leave the room to calm down.,angry
I charged my phone and put it on the desk,neutral
I fell in love slowly and then all at once,romantic
"I feel so happy and content, life is treating me well.",happy
The way he looks at me makes my heart melt every time.,romantic
I had a routine check up at the doctor this morning.,neutral
My workload is completely unsustainable and I am at my limit.,stressed
I feel like I am mourning something that isn't even gone yet.,sad
"How dare they treat people this way, this is outrageous",angry
"today was a great day, simple and perfect in every way.",happy
I am so stressed that small things are making me snap.,stressed
I walked to the office today since the weather was fine.,neutral
I returned the library books that were due today,neutral
my anger is completely justified and i stand by my reaction.,angry
I watered my plants and opened the window for fresh air,neutral
I am deeply in love and my heart feels completely full,romantic
I feel forgotten by everyone who used to matter to me,sad
"I love my new apartment, it feels like home already.",happy
My friend group drifted apart and I didn't realize until it was too late.,sad
I went to bed at the usual time last night,neutral
Our love feels like something out of a beautiful dream.,romantic
My team lost the final and after all our effort it breaks my heart.,sad
I attended the online seminar and took notes.,neutral
They made me feel worthless and I am furious about it.,angry
I miss the way things used to be before everything changed,sad
He makes me feel like I am the only person in the world,romantic
I am juggling too many things and I am about to break,stressed
We stayed up all night talking and I have never felt so connected.,romantic
I picked up a package from the post office this afternoon,neutral
"i am beyond angry, this is a matter of basic decency.",angry
He lied to my face and I cannot forgive that.,angry
my team won the championship and we celebrated all night.,happy
The bus arrived a few minutes late this morning.,neutral
I am so angry I can barely think straight right now.,angry
the silence in this house is deafening since they left.,sad
"I keep waking up and forgetting for a second, then remembering.",sad
I watched everyone else celebrate while I sat alone.,sad
I feel like I am drowning in responsibilities right now,stressed
I cleaned my room and organized some paperwork today,neutral
He remembers every small thing I say and it makes me love him more,romantic
I attended the weekly team meeting and shared my update,neutral
"I keep waking up and forgetting for a second, then remembering",sad
I feel so hopeless and I don't know where to turn.,sad
I feel like I need a week of sleep just to feel normal again.,stressed
the way he looks at me makes my heart melt every time.,romantic
"I had a regular Tuesday, nothing out of the ordinary.",neutral
I have been working nonstop and I am completely burnt out,stressed
"I cannot believe they did that, it is completely unacceptable",angry
I feel incredibly happy and thankful for this beautiful life,happy
i updated my to do list and prioritized the main tasks.,neutral
i gave everything and still ended up with nothing.,sad
I fell in love slowly and then all at once.,romantic
The sun is shining and I feel absolutely wonderful today.,happy
"I miss my mom so much, she would have known what to say.",sad
I got a standing ovation after my performance tonight,happy
I am juggling too many things and I am about to break.,stressed
My childhood home was sold and I feel a deep sense of loss,sad
i am raging inside and i don't know how to calm down.,angry
That was a direct betrayal and I am livid about it.,angry
I failed my exam after studying so hard for weeks,sad
Our love feels like something out of a beautiful dream,romantic
I had a light salad for lunch and then resumed work,neutral
my brain is completely fried from the constant pressure.,stressed
"I feel so happy and content, life is treating me well",happy
i feel so grateful for the wonderful people in my life.,happy
i helped someone today and it made me feel genuinely happy.,happy
I did some light reading before starting my day,neutral
I would choose him in every lifetime without hesitation.,romantic
My business idea was approved and we are starting next month.,happy
i worked all night and they didn't even acknowledge it.,angry
"life feels so good right now, i have nothing to complain about.",happy
This is completely unacceptable and I am done being silent.,angry
I cannot focus on anything because my anxiety is through the roof,stressed
his smile is the most beautiful thing i have ever seen.,romantic
Everything is due at the same time and I feel trapped,stressed
"My art was selected for the gallery exhibition, I am overjoyed.",happy
The office was fairly quiet today and work went smoothly,neutral
I can't believe how selfish and cruel some people can be.,angry
I feel so grateful for the wonderful people in my life,happy
"I am so angry right now, I need to punch something.",angry
i am so mad i can barely keep my composure right now.,angry
"I finally paid off my student loan, feels like freedom!",happy
I charged my phone and put it on the desk.,neutral
my hard work finally got noticed and i feel so validated.,happy
our love feels like something out of a beautiful dream.,romantic
Being loved by him is the greatest gift I have ever received.,romantic
They keep disrespecting me and I have had enough,angry
I haven't slept properly in days because of the pressure,stressed
my dog learned a new trick today and i am so proud.,happy
"my art was selected for the gallery exhibition, i am overjoyed.",happy
i wrote him a letter because i had too much love to speak.,romantic
I am furious and I refuse to pretend that everything is fine.,angry
I feel like I am carrying the weight of the world right now,stressed
I set my alarm and went to bed at a reasonable hour,neutral
i think about her constantly and i wouldn't have it any other way.,romantic
"I am beyond stressed, I am genuinely on the verge of breaking.",stressed
i cried in the bathroom at work today so nobody would see.,sad
This whole thing is corrupt and I am absolutely outraged.,angry
I cried myself to sleep again last night.,sad
i am so anxious about tomorrow i can barely breathe.,stressed
There is a sadness in me that feels permanent now,sad
everything is going so well in my life right now.,happy
I am furious and I have every right to be this angry.,angry
i am worried about so many things and it is affecting my health.,stressed
My anger is completely justified and I stand by my reaction,angry
I had a light salad for lunch and then resumed work.,neutral
I made a note of the key points from the discussion,neutral
I feel so empty inside like something is just missing,sad
The silence in this house is deafening since they left,sad
I have been working nonstop and I am completely burnt out.,stressed
I went to the grocery store and bought some vegetables.,neutral
I did some light reading before starting my day.,neutral
i passed my exam with the highest score in the class!,happy
i feel tense and nervous all the time and it won't stop.,stressed
i am so grateful every single day that i found this person.,romantic
"i got great feedback on my presentation, everyone loved it.",happy
i am so angry at the unfairness of this whole situation.,angry
I wrote him a letter because I had too much love to speak,romantic
I never believed in soulmates until I met him.,romantic
i cleaned my room and organized some paperwork today.,neutral
"i couldn't get out of bed today, the weight was too heavy.",sad
i failed my exam after studying so hard for weeks.,sad
i finished the report and submitted it before the deadline.,neutral
"I got great feedback on my presentation, everyone loved it.",happy
She looked at me and in that moment I knew I was home.,romantic
"I got great feedback on my presentation, everyone loved it",happy
I finished reading a great book and feel inspired.,happy
I am deeply in love and my heart feels completely full.,romantic
He is my best friend and the love of my life all in one.,romantic
"My sister just had a baby and I am an aunt now, so happy",happy
I cooked a perfect meal from scratch for the first time,happy
this is completely unacceptable and i am done being silent.,angry
i just completed a 5k run and i am so proud of myself.,happy
"Today was a great day, simple and perfect in every way.",happy
She left and took all the warmth with her.,sad
"Every time I finish one task, three more appear.",stressed
I have been pretending to be okay for so long I forgot how to feel,sad
"Today was a great day, simple and perfect in every way",happy
"I had the most joyful morning, everything just fell into place.",happy
i aced my driving test on the very first try!,happy
I am falling harder for them with every single passing day,romantic
"They promised and broke it again, I am done giving chances",angry
i cannot focus on anything because my anxiety is through the roof.,stressed
I cannot stand how they keep getting away with everything.,angry
I am completely drained from stress and need this to end,stressed
the bus arrived a few minutes late this morning.,neutral
I feel like I am stuck in a sadness I can't get out of.,sad
"i am so angry right now, i need to punch something.",angry
i drank two cups of coffee and started working.,neutral
i am absolutely disgusted by their behavior.,angry
My chest feels tight from all the stress I am carrying.,stressed
I reviewed my notes from the lecture earlier today.,neutral
Everything feels empty and pointless lately.,sad
I am so mad I can barely keep my composure right now,angry
my heart is broken in a way that doesn't seem like it will heal.,sad
My best friend moved away and I miss them terribly,sad
I got rejected from the college I worked so hard to get into.,sad
my chest feels tight from all the stress i am carrying.,stressed
"I cannot believe they did that, it is completely unacceptable.",angry
i completed the online form and submitted it successfully.,neutral
being with her feels like coming home after a long journey.,romantic
My brain is completely fried from the constant pressure,stressed
i am furious and i have every right to be this angry.,angry
I am so anxious about tomorrow I can barely breathe,stressed
"they lied, manipulated and i trusted them, never again.",angry
I keep waking up at 3am thinking about everything I need to do.,stressed
I watched everyone else celebrate while I sat alone,sad
My grandmother passed away last night and I miss her so much.,sad
my best friend moved away and i miss them terribly.,sad
I attended the weekly team meeting and shared my update.,neutral
i feel paralyzed by anxiety and can't seem to take action.,stressed
I am so overwhelmed that I just sat and stared at the wall.,stressed
I am so grateful every single day that I found this person.,romantic
I cried in the bathroom at work today so nobody would see,sad
My best friend moved away and I miss them terribly.,sad
"I got accepted into my dream university, I can't believe it",happy
I am completely outraged and I will not be silent anymore.,angry
I feel tense and nervous all the time and it won't stop,stressed
I checked my emails and responded to a few messages,neutral
They made me feel worthless and I am furious about it,angry
They cheated the system and it makes me so incredibly angry.,angry
They disrespected my hard work and I am absolutely fuming,angry
I feel paralyzed by anxiety and can't seem to take action.,stressed
I want to spend the rest of my life next to this person.,romantic
Being with her feels like coming home after a long journey.,romantic
I am so mad I can barely keep my composure right now.,angry
i worked so hard and they just dismissed me without a thought.,angry
i took the usual route home and got back on time.,neutral
The tears just won't stop coming tonight,sad
"i feel so deeply sad today, like the whole world is grey.",sad
The thought of loving someone this much used to scare me,romantic
I called my friend to confirm plans for the weekend,neutral
My heart races every time his name appears on my phone.,romantic
i haven't slept properly in days because of the pressure.,stressed
we got engaged last night and i still can't stop smiling.,happy
I finished reading a great book and feel inspired,happy
"I couldn't get out of bed today, the weight was too heavy",sad
"I couldn't get out of bed today, the weight was too heavy.",sad
"I feel constantly anxious and tense, I can't seem to relax",stressed
My heart feels so heavy and I don't know how to lighten it,sad
This injustice makes my blood boil.,angry
the report was reviewed and no major changes were needed.,neutral
My relationship ended today and I don't know how to cope.,sad
i walked to the office today since the weather was fine.,neutral
Nobody showed up to my event and I felt completely humiliated.,sad
"I feel overwhelmed, anxious and completely out of control",stressed
I love her in a way that is quiet and deep and endless,romantic
they cheated the system and it makes me so incredibly angry.,angry
i am completely outraged and i will not be silent anymore.,angry
I cannot eat or sleep properly because of everything piling up,stressed
I feel like I am mourning something that isn't even gone yet,sad
how could they do this and act like nothing is wrong.,angry
"My art was selected for the gallery exhibition, I am overjoyed",happy
we stayed up all night talking and i have never felt so connected.,romantic
"Life feels so good right now, I have nothing to complain about.",happy
He is the first person I want to tell everything to,romantic
I attended the online seminar and took notes,neutral
my heart races every time his name appears on my phone.,romantic
I wrote him a letter because I had too much love to speak.,romantic
my heart feels so heavy and i don't know how to lighten it.,sad
I worked all night and they didn't even acknowledge it.,angry
that was a direct betrayal and i am livid about it.,angry
I cannot stand how they keep getting away with everything,angry
That was a deliberate act of disrespect and I won't stand for it,angry
I just completed a 5K run and I am so proud of myself.,happy
I picked up a package from the post office this afternoon.,neutral
i have been working eighteen hour days and i am falling apart.,stressed
i feel completely alone even when i am surrounded by people.,sad
i got the job offer i have been waiting for all month.,happy
I feel explosive rage when I think about what they did.,angry
I love the way she cares for everyone around her so gently,romantic
she laughed today and i thought i could listen forever.,romantic
my friends threw me a surprise party and i was genuinely shocked.,happy
I feel like I am on the edge and one more thing will break me.,stressed
I feel so cherished and adored by this wonderful person.,romantic
i looked at her and just knew she was everything.,romantic
I cried in the bathroom at work today so nobody would see.,sad
just thinking about her makes me smile uncontrollably.,romantic
he spoke to me like i was nothing and i am still fuming.,angry
i feel like i am on the edge and one more thing will break me.,stressed
"My favorite band announced a concert in my city, so excited",happy
i feel like i am running a race with no finish line.,stressed
I took the usual route home and got back on time.,neutral
I feel like I lost a part of myself along the way.,sad
The thought of loving someone this much used to scare me.,romantic
This is completely unacceptable and I am done being silent,angry
"I am not going to let this go, this is completely wrong",angry
The bus arrived a few minutes late this morning,neutral
"i had the most joyful morning, everything just fell into place.",happy
My heart has never felt this warm or this full before,romantic
i keep making mistakes because i am running on empty.,stressed
i am so enraged i had to leave the room to calm down.,angry
My anger is completely justified and I stand by my reaction.,angry
"i feel so pressured and overwhelmed, i just want it to stop.",stressed
everything feels empty and pointless lately.,sad
they made me feel worthless and i am furious about it.,angry
i feel completely overwhelmed by everything on my plate.,stressed
I am so enraged I had to leave the room to calm down,angry
"I feel so alive and joyful, today was absolutely perfect",happy
We had the most amazing family dinner last night.,happy
Everything feels empty and pointless lately,sad
"i feel so alive and joyful, today was absolutely perfect.",happy
"They lied, manipulated and I trusted them, never again",angry
This whole thing is corrupt and I am absolutely outraged,angry
I have been stressed for so long I forgot what calm feels like,stressed
i feel intense rage every time i think about what happened.,angry
I just completed a 5K run and I am so proud of myself,happy
"Life feels so good right now, I have nothing to complain about",happy
I am sick and tired of being ignored and walked over,angry
"They promised and broke it again, I am done giving chances.",angry
my heart is racing and i can't seem to calm down.,stressed
I am livid and I want answers right now,angry
I had lunch at my desk and continued working after.,neutral
something about today felt unbearably sad for no clear reason.,sad
the library was quiet and i found the books i needed.,neutral
I have been pretending to be okay for so long I forgot how to feel.,sad
i want to grow old laughing with this amazing person.,romantic
I have never been this furious in my entire life.,angry
i reviewed my notes from the lecture earlier today.,neutral
I cannot forgive that level of disrespect and I won't try to.,angry
"I feel on top of the world today, nothing can bring me down",happy
"I feel so deeply sad today, like the whole world is grey.",sad
I have been putting out fires all day and I am exhausted.,stressed
"I feel so alive and joyful, today was absolutely perfect.",happy
"i am so angry about how this was handled, it was disgraceful.",angry
I worked all night and they didn't even acknowledge it,angry
I have three big presentations due this week and I am panicking.,stressed
I feel like I am grieving something I can't even name.,sad
My dog passed away today and my heart is completely broken.,sad
I read a few pages of my book before going to bed,neutral
The way he looks at me makes my heart melt every time,romantic
i transferred some files to the new computer today.,neutral
i fell in love slowly and then all at once.,romantic
I feel tense and nervous all the time and it won't stop.,stressed
i just want to feel okay again but i don't know how.,sad
I feel hollow and disconnected from everything around me.,sad
I snapped today because I had been holding it in for too long,angry
I aced my driving test on the very first try!,happy
I feel hollow and disconnected from everything around me,sad
i achieved my fitness goal after months of hard work.,happy
She is my favorite part of every single day,romantic
He lied to my face and I cannot forgive that,angry
I feel completely overwhelmed by everything on my plate.,stressed
I can't stop worrying about all the things that could go wrong.,stressed
My dog learned a new trick today and I am so proud.,happy
I set a reminder for the appointment next week.,neutral
I finally finished my project and it turned out amazing.,happy
Something about today felt unbearably sad for no clear reason,sad
I love her so deeply it sometimes takes my breath away,romantic
I am so fed up with being treated like I don't matter,angry
i watched everyone else celebrate while i sat alone.,sad
i miss the way things used to be before everything changed.,sad
i made pasta for dinner and watched a documentary afterward.,neutral
my body is physically tense from all the stress i am holding.,stressed
I watched the news for a bit before starting my work,neutral
"I am not going to let this go, this is completely wrong.",angry
i woke up feeling refreshed and full of energy this morning.,happy
"i love her laugh, her eyes, her heart, everything about her.",romantic
Every time I see her my heart skips a beat.,romantic
"Today is the best day of my life, everything went perfectly.",happy
I just got back from the most fun road trip with friends.,happy
The meeting was informational and lasted about an hour.,neutral
i feel explosive rage when i think about what they did.,angry
being in his arms is the safest and happiest place i know.,romantic
I yelled today because I had been pushed way too far.,angry
i did some light reading before starting my day.,neutral
"today is the best day of my life, everything went perfectly.",happy
She makes me want to be a better version of myself,romantic
"i love every little thing about them, every single detail.",romantic
i feel like i am drowning in responsibilities right now.,stressed
i got rejected from the college i worked so hard to get into.,sad
I am absolutely furious at how unfair this situation is,angry
My dog passed away today and my heart is completely broken,sad
i miss the version of my life before things went wrong.,sad
i feel hollow and disconnected from everything around me.,sad
I transferred some files to the new computer today,neutral
"I laughed so hard today my stomach hurts, best feeling ever",happy
"i feel so happy and content, life is treating me well.",happy
i watched the news for a bit before starting my work.,neutral
"I had the most joyful morning, everything just fell into place",happy
"i feel on top of the world today, nothing can bring me down.",happy
She betrayed my trust and I am seething with anger.,angry
I woke up feeling refreshed and full of energy this morning.,happy
I worked so hard and they just dismissed me without a thought.,angry
I went to the pharmacy to pick up some medicine.,neutral
I feel like I need a week of sleep just to feel normal again,stressed
I feel like I lost a part of myself along the way,sad
that was the most infuriating meeting i have ever sat through.,angry
I made a note of the key points from the discussion.,neutral
she makes me want to be a better version of myself.,romantic
They took credit for my work and I am livid,angry
this love we have is rare and i treasure it every single day.,romantic
I updated my calendar and scheduled a few appointments.,neutral
i am so stressed i can feel it in my shoulders and neck.,stressed
i made a note of the key points from the discussion.,neutral
We had the most amazing family dinner last night,happy
i won first place in the competition after months of practice.,happy
The office was fairly quiet today and work went smoothly.,neutral
Everything is going so well in my life right now.,happy
we had the most amazing family dinner last night.,happy
everything is due at the same time and i feel trapped.,stressed
I cannot eat or sleep properly because of everything piling up.,stressed
"How dare they treat people this way, this is outrageous.",angry
"i love my new apartment, it feels like home already.",happy
I watched the news for a bit before starting my work.,neutral
holding his hand still feels like the first time every time.,romantic
i have been feeling deeply sad for weeks and can't shake it.,sad
I have not had a single moment to breathe or rest this week,stressed
I got rejected from the college I worked so hard to get into,sad
"I feel so deeply sad today, like the whole world is grey",sad
I refilled my water bottle and sat back down at my desk.,neutral
I feel like I am failing at everything simultaneously,stressed
I did some routine maintenance on my laptop today,neutral
My business idea was approved and we are starting next month,happy
We got engaged last night and I still can't stop smiling.,happy
I cleaned my room and organized some paperwork today.,neutral
"the weekend was so fun and relaxing, i feel recharged.",happy
I am so angry I am shaking and I can't stop,angry
i keep thinking about all the things i wish i had said.,sad
every time i see her my heart skips a beat.,romantic
i never believed in soulmates until i met him.,romantic
My heart is broken in a way that doesn't seem like it will heal.,sad
my business idea was approved and we are starting next month.,happy
i have three big presentations due this week and i am panicking.,stressed
i have not had a single moment to breathe or rest this week.,stressed
i love the way she cares for everyone around her so gently.,romantic
he is my best friend and the love of my life all in one.,romantic
i have been working nonstop and i am completely burnt out.,stressed
I have not had a single moment to breathe or rest this week.,stressed
I love him more than words could ever express.,romantic
i finally finished my project and it turned out amazing.,happy
I am raging inside and I don't know how to calm down.,angry
She laughed today and I thought I could listen forever.,romantic
I feel paralyzed by anxiety and can't seem to take action,stressed
he is the calm in every storm i face.,romantic
i lost my job and i feel so lost and hopeless right now.,sad
They took credit for my work and I am livid.,angry
She makes even the most ordinary moments feel magical.,romantic
Nobody remembered my birthday this year and it really hurt.,sad
"I feel so pressured and overwhelmed, I just want it to stop.",stressed
My body is physically tense from all the stress I am holding,stressed
I looked at her and just knew she was everything.,romantic
there is a sadness in me that feels permanent now.,sad
I keep making mistakes because I am running on empty.,stressed
he is the first person i want to tell everything to.,romantic
I yelled today because I had been pushed way too far,angry
I passed my exam with the highest score in the class!,happy
I watered my plants and opened the window for fresh air.,neutral
I feel so empty inside like something is just missing.,sad
I replied to the email and attached the required document,neutral
I printed the documents needed for tomorrow's meeting.,neutral
i feel like i am invisible and nobody really cares.,sad
I have barely eaten today because I have been so stressed.,stressed
His smile is the most beautiful thing I have ever seen.,romantic
My heart has never felt this warm or this full before.,romantic
I keep thinking about all the things I wish I had said.,sad
she left and took all the warmth with her.,sad
The report was reviewed and no major changes were needed,neutral
"I just booked my dream vacation, I am so thrilled!",happy
I keep waking up at 3am thinking about everything I need to do,stressed
I just got promoted at work and I couldn't be happier,happy
"I love every little thing about them, every single detail.",romantic
My to do list is endless and I feel utterly helpless,stressed
I haven't slept properly in days because of the pressure.,stressed
I achieved my fitness goal after months of hard work,happy
I feel like a burden to everyone around me,sad
I set my alarm and went to bed at a reasonable hour.,neutral
I completed the online form and submitted it successfully.,neutral
The tears just won't stop coming tonight.,sad
She looked at me and in that moment I knew I was home,romantic
"I just found out I am going to be a parent, over the moon",happy
I refilled my water bottle and sat back down at my desk,neutral
Our first dance felt like the whole world disappeared,romantic
I want to grow old laughing with this amazing person.,romantic
I had lunch at my desk and continued working after,neutral
i feel like a burden to everyone around me.,sad
I just got amazing news and I can barely contain my excitement,happy
How could they do this and act like nothing is wrong.,angry
i am so angry i am shaking and i can't stop.,angry
"i got accepted into my dream university, i can't believe it!",happy
"my sister just had a baby and i am an aunt now, so happy!",happy
I passed my exam with the highest score in the class,happy
Everything is due at the same time and I feel trapped.,stressed
i am so done with people who take and never give back.,angry
Being in his arms is the safest and happiest place I know,romantic
she betrayed my trust and i am seething with anger.,angry
"I am so angry about how this was handled, it was disgraceful",angry
i went to the pharmacy to pick up some medicine.,neutral
i finished reading a great book and feel inspired.,happy
I miss the version of my life before things went wrong.,sad
i am furious and i refuse to pretend that everything is fine.,angry
I think about her constantly and I wouldn't have it any other way.,romantic
i feel forgotten by everyone who used to matter to me.,sad
My body is physically tense from all the stress I am holding.,stressed
i can't concentrate on anything because anxiety is taking over.,stressed
i have barely eaten today because i have been so stressed.,stressed
"I love my new apartment, it feels like home already",happy
I had oatmeal for breakfast and then headed to work,neutral
I feel like I am invisible and nobody really cares,sad
I never believed in soulmates until I met him,romantic
I feel so hopeless and I don't know where to turn,sad
She left and took all the warmth with her,sad
i am so overwhelmed that i just sat and stared at the wall.,stressed
I think about her constantly and I wouldn't have it any other way,romantic
I snapped today because I had been holding it in for too long.,angry
